"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd177",6.80575104332745e-170,-1.29462214165465,0.187,0.448,1.90547417711082e-165,"G0","Cd177"
"Anxa1",9.80319676066826e-169,-2.12434559959503,0.576,0.792,2.7446990290519e-164,"G0","Anxa1"
"Srrm2",7.69049594787834e-167,1.0451434100237,1,0.332,2.15318505548698e-162,"G0","Srrm2"
"mt-Nd3",2.0340319956006e-166,1.56802536349211,0.996,0.176,5.69488278128255e-162,"G0","mt-Nd3"
"Prdx2",6.06641909190655e-166,1.35774791047477,0.996,0.127,1.698476017352e-161,"G0","Prdx2"
"Btg1",6.89774898787997e-166,-2.26424998556968,0.733,0.922,1.93123176162663e-161,"G0","Btg1"
"Mtus1",5.6766602567106e-165,-0.712019638789946,0.099,0.351,1.58935133867384e-160,"G0","Mtus1"
"Taldo1",6.89668705588945e-165,-1.95023066217335,0.897,0.992,1.93093444190793e-160,"G0","Taldo1"
"Cebpb",1.11889261151238e-164,-2.49422592785245,0.691,0.96,3.13267553371235e-160,"G0","Cebpb"
"Ccpg1",1.30214270399812e-164,-0.992277935393973,0.134,0.415,3.64573914265395e-160,"G0","Ccpg1"
"Slc25a3",1.23057194354806e-163,1.0981684574835,0.996,0.382,3.44535532754585e-159,"G0","Slc25a3"
"Pebp1",2.38023342849426e-163,1.42461020575036,0.985,0.148,6.66417755309823e-159,"G0","Pebp1"
"Srsf3",8.5724401368997e-163,1.24673653573247,0.992,0.276,2.40011178952918e-158,"G0","Srsf3"
"Itgam",2.84322005497547e-162,-1.05038302578012,0.164,0.53,7.96044750992033e-158,"G0","Itgam"
"Rps27l",3.79905833529544e-162,1.12698277170098,1,0.33,1.06366035271602e-157,"G0","Rps27l"
"Gpsm3",1.12522295750311e-160,-1.55994602842944,0.603,0.869,3.15039923641719e-156,"G0","Gpsm3"
"Sumo2",8.57199650903577e-160,0.937887735621382,1,0.423,2.39998758259984e-155,"G0","Sumo2"
"Snrpe",1.80145016181066e-159,1.1760062305723,0.996,0.258,5.04370016303748e-155,"G0","Snrpe"
"Fam101b",4.74270551475564e-159,-0.710519502442641,0.092,0.368,1.32786269002128e-154,"G0","Fam101b"
"Hcst",8.67720041573849e-159,-1.51086868306337,0.5,0.818,2.42944257239846e-154,"G0","Hcst"
"Hmgb1",5.05708210496212e-158,1.16893388989188,1,0.534,1.41588184774729e-153,"G0","Hmgb1"
"Lcn2",5.57056251398929e-158,-2.74982194688956,0.912,0.825,1.55964609266672e-153,"G0","Lcn2"
"Rbm3",6.62889764061211e-158,0.987712258150319,1,0.458,1.85595876141858e-153,"G0","Rbm3"
