Gene symbol,G0,G1,G2,G3a,G4,G5a,G5b,G5c,G3b,,Top2a,Gene symbol,Mono,DC,B,T
Gm28836,0,0,0,0,0,0,0,0,0,,Pcsk9,Gm28836,0,0,0,0.005852678
Khdc1a,0,0,0,0,0,0,0,0,0,,Adam8,Khdc1a,0.00061301,0,0,0.018004381
Khdc1c,0,0,0,0.000614336,0,0,0,0,0,,Il24,Khdc1c,0,0,0,0.005500097
Khdc1b,0,0,0,0,0,0,0,0,0,,Skil,Khdc1b,0,0,0,0.004672668
Kcnq5,0.02035399,0.018489377,0,0.000543377,0.002189129,0.003916502,0,0,0,,Cdc42,Kcnq5,0.000260916,0,0.033165441,0.012607699
Gm26580,0.014875597,0.001248993,0,0,0,0,0,0.004056984,0.008340089,,Tnfsf12,Gm26580,0,0,0.003221784,0.001467925
Rims1,0,0,0,0,0,0,0,0,0,,Calhm2,Rims1,0,0,0,0
4933415F23Rik,0,0,0,0,0,0,0,0,0,,Gadd45a,4933415F23Rik,0,0,0,0
Gm27028,0,0,0,0,0,0,0,0,0,,Gadd45b,Gm27028,0,0,0,0
Gm29107,0,0,0,0,0,0,0,0,0,,Apbb1,Gm29107,0,0,0.002674426,0.00081562
Ogfrl1,1.083710077,1.591100077,1.356310624,1.363346343,1.631817652,2.181811203,2.397770858,2.83321761,2.090403338,,Casp3,Ogfrl1,1.027613632,0.673190899,0.518073265,0.110230353
Gm28822,0,0,0,0,0,0,0,0,0,,Ddx19a,Gm28822,0,0,0,0
B3gat2,0.012640821,0.020960353,0.00808011,0.007923655,0.005517027,0.002369654,0,0,0.007810273,,Bmpr1b,B3gat2,0.004746309,0.013817289,0.005535107,0.003733304
Smap1,0.849742525,0.662548764,0.565791364,0.441621446,0.436444649,0.403025898,0.526745632,0.386010215,0.712055093,,Bcl6,Smap1,0.669140509,0.598783738,0.516587175,0.60664211
Sdhaf4,0.539224213,0.388289114,0.085788983,0.044872185,0.030861305,0.040200424,0.052419711,0.042047043,0.143243693,,Fosl1,Sdhaf4,0.26769477,0.466573553,0.334037325,0.332868955
Fam135a,0.016367786,0.00208923,0.001026711,0.000488775,0,0,0,0,0,,Srpk2,Fam135a,0.001635731,0.00677466,0.003844245,0
Col9a1,0,0,0,0,0,0,0,0,0,,Arhgef7,Col9a1,0,0,0,0
Col19a1,0,0,0,0,0,0,0,0,0,,Adm,Col19a1,0,0,0,0.000458086
Lmbrd1,0.121680659,0.087420152,0.107048738,0.166419257,0.182541011,0.199220109,0.181291999,0.204705778,0.096825762,,Wnt10b,Lmbrd1,0.381104086,0.264243973,0.85530408,0.200492689
Gm28237,0,0,0,0,0,0,0,0,0,,Ing5,Gm28237,0,0,0,0
Gm29414,0,0,0,0,0,0,0,0,0,,Sfrp2,Gm29414,0,0,0,0
Adgrb3,0,0,0,0,0,0.00219275,0.005170547,0,0,,Olfm1,Adgrb3,0,0,0,0
4931408C20Rik,0.00151232,0,0,0,0,0,0,0,0,,Arl6ip5,4931408C20Rik,0,0,0,0
Gm5524,0,0,0.000822641,0,0,0,0,0,0,,Hip1r,Gm5524,0,0,0,0.000901132
Gm597,0,0,0,0,0,0,0,0,0,,Zfp819,Gm597,0,0,0,0
Gm9898,0,0.00130558,0.002460469,0.005574685,0.016826142,0.032815007,0.020688483,0.016835125,0.031875389,,Trpm7,Gm9898,0.014377012,0,0,0.001461119
Phf3,1.318891402,0.65016781,0.332437951,0.361198985,0.395487837,0.513617463,0.650308798,0.447478354,0.553416958,,Dhodh,Phf3,0.676314518,0.833047903,0.95651906,0.885713241
Ptp4a1,0.595670054,0.699105856,0.901705181,1.330630228,2.208406315,3.529556573,3.591313865,3.332389203,1.83264924,,Pou4f2,Ptp4a1,1.393453125,0.533010249,0.713582296,0.502238269
Gm29669,0,0,0,0,0,0,0,0,0,,Atf4,Gm29669,0,0,0,0
Gm28644,0,0,0,0,0,0,0,0,0,,Pdcd6,Gm28644,0,0,0,0
4931428L18Rik,0,0.000753436,0,0.008880773,0.022827176,0.018722495,0.042450832,0.03474801,0,,Psen2,4931428L18Rik,0.0002154,0,0.005263165,0.00056269
Gm29128,0,0,0,0.000822727,0,0.001299143,0.004298295,0,0,,Pea15a,Gm29128,0,0,0,0
Lgsn,0,0,0,0,0,0,0,0,0,,Tnf,Lgsn,0,0,0,0
Pih1d3,0,0,0,0,0,0,0,0,0,,Lta,Pih1d3,0,0,0,0
Khdrbs2,0,0,0,0,0,0,0,0,0,,Apc,Khdrbs2,0,0,0,0
Gm5415,0,0,0,0,0,0,0,0,0,,Prkdc,Gm5415,0,0.003207281,0,0
Gm37724,0,0,0,0,0,0,0,0,0,,Erbb4,Gm37724,0,0,0,0
Gm37591,0,0,0,0,0,0,0,0,0,,Osm,Gm37591,0,0,0,0
Prim2,0.273174827,0.323046846,0.193309687,0.034272063,0.047449391,0.053785942,0.041462109,0.043919558,0.072142055,,Cdkn2a,Prim2,0.081113879,0.078764632,0.146632814,0.075723807
Rab23,0.038913571,0.019955258,0.015453109,0.043498946,0.158189056,0.11661451,0.035317342,0.049435574,0.055852054,,4-Sep,Rab23,0.027947436,0.043302139,0.042381186,0.042949883
Bag2,0.207794177,0.144532139,0.004998796,0.006021036,0.005330722,0.002162911,0.004009465,0.004973667,0,,Dnaja1,Bag2,0.00445056,0.040106958,0.023034957,0.030227147
